name,description,size,language,created_at,pushed_at,fork,stargazers_count,watchers_count,forks,open_issues
Aac js,AAC decoder in JavaScript ,376,JavaScript,2013 12 30T05:28:28Z,2013 11 10T00:40:46Z,true,0,0,0,0
AndEngineExamples,AndEngine   Examples,89636,Java,2013 08 30T20:50:49Z,2013 08 30T20:54:11Z,true,0,0,0,0
Android Restaurant Menu,This is an Android application that can be used for providing a digital menu for a restaurant ,9010,,2014 10 14T19:36:56Z,2014 10 15T15:43:28Z,true,0,0,0,0
Android Restaurant Menu sikuli,Visual tests for Android Restaurant Menu,124,Python,2014 10 20T16:16:08Z,2014 10 20T16:18:08Z,false,2,2,0,0
Android Restaurant Menu spec,,100,Groovy,2014 10 20T21:32:48Z,2014 10 20T21:33:52Z,false,0,0,0,0
Android Restaurant Menu test,JUnit tests for Android Restaurant Menu,168,Java,2014 10 20T18:21:31Z,2014 10 20T18:23:04Z,false,0,0,0,0
Android tutorial turn taking game,,119,Java,2012 03 27T22:04:31Z,2012 03 27T22:05:14Z,false,2,2,1,0
AndroidAuBlog,An open source blogger client which uses advances in linguistics and machine learning to improve user experience,15916,JavaScript,2011 08 09T15:57:24Z,2014 03 17T13:29:50Z,false,0,0,0,11
AndroidBacteriaImageProcessing,An Android App that snaps a picture of a petrifilm  counts the bacteria and posts the counts on a server for the mWater project,12464,C++,2012 04 11T21:56:19Z,2012 04 12T02:34:24Z,true,1,1,0,0
AndroidDictationWidget,An OpenSource widget for use on homescreen or in a host activity which lets developers record dictations and send them for transcription through various Voice Recognition and/or Transcription APIs  including the Android recognizer as well as other more flexible (less reliable) recognizers,16184,Java,2012 02 17T14:18:03Z,2012 02 23T03:32:37Z,false,1,1,0,3
AndroidFieldDB,,41952,Java,2014 09 13T18:55:53Z,2015 09 13T14:54:53Z,true,0,0,0,0
AndroidFieldDBElicitationRecorder,A guestbook app for weddings  grandma proof and record video,1732,Java,2013 08 28T23:19:52Z,2014 03 16T17:19:12Z,true,0,0,0,0
AndroidFieldDBold,Android client with a local couch db to run FieldDB offline on an Android (installed app),25448,JavaScript,2013 01 03T15:33:46Z,2013 07 31T03:08:47Z,true,0,0,0,0
AndroidFirebaseTutorial,Example code which can be used at a hackathon for building a collaborative app,1684,Java,2015 09 08T18:48:01Z,2015 09 10T14:17:34Z,false,0,0,0,0
AndroidH2ORMLiteSample,This is a fork of the H2 plus ORMLite for Android http://ormlite svn sourceforge net/viewvc/ormlite/examples/android/HelloAndroidH2/ for using H2 for large blob value stores,48,,2012 03 01T22:22:02Z,,false,1,1,0,0
AndroidLanguageLearningClientForFieldDB,A prototype for an Android language learning app which plugs into FieldDB corpora to create language learning apps ,4728,Java,2014 03 19T10:43:29Z,2014 05 03T13:32:33Z,true,1,1,0,0
AndroidLevelDBSample,LevelDB is a fast key value storage library written at Google that provides an ordered mapping from string keys to string values  This example shows how to use levelDB in an Android project  This project provides the Android project wrapper needed to call the levelDB project files from Java  the levelDB code is from a fork of the android branch of ,618,C++,2012 02 28T19:30:44Z,2015 08 20T21:41:13Z,false,23,23,7,1
AndroidMorphologicalAwareness,OpenSource Experiment Software for Android Tablets,54237,Java,2011 09 01T17:47:38Z,2011 11 01T19:21:07Z,true,5,5,4,0
AndroidOpenCVforHackathons,A hackathon ready project with selfdocumenting OpenCV debugging so you can get programming with OpenCV as soon as possible,13180,Java,2012 02 20T16:39:39Z,2015 08 31T14:48:16Z,false,5,5,6,16
AndroidOPrime,See https://github com/iLanguage/OPrime  This repository contains the old version history before merging OPrime repositories into one ,51095,Java,2011 10 24T01:20:03Z,2012 12 02T18:25:18Z,false,4,4,2,0
AndroidPocketSphinx,Offline Automatic Speech Recognition for Android 2 2+ using Sphinx (specifically PocketSphinx),7717,Java,2011 05 27T15:21:53Z,2014 06 22T07:43:00Z,true,16,16,10,0
AndroidPocketSphinxRemoteFiles,Put these remote files on a server to create a new mirror of the language models and acoustic models for AndroidPocketSphinx,11422,,2011 05 29T20:33:33Z,2011 05 29T20:40:47Z,false,2,2,0,0
AndroidPushNotificationsForHackathons,A quick Google Cloud Messaging sampel for hackathons,624,Java,2013 07 13T16:28:06Z,2013 07 14T16:23:28Z,false,0,0,0,0
AndroidScreenDrawingSamples,These are the samples from the sdk  in case you cant get them for some reason ,5300,Java,2014 03 25T08:04:30Z,2014 03 25T08:10:32Z,false,0,0,0,0
AndroidSRTGenerator,Test project to develop an "utterance finder",4416,Java,2015 08 31T15:17:05Z,2015 08 31T15:30:59Z,false,0,0,0,0
Android game examples,Android Game Examples,32403,Java,2011 03 28T21:40:08Z,2011 03 29T00:52:42Z,true,1,1,0,0
Android page curl,An example application for creating page curl/flip effect on Android using OpenGL ES ,5171,Java,2011 10 23T15:07:38Z,2012 05 25T22:15:01Z,true,1,1,0,0
Angular contenteditable,Angular model for the "contenteditable" attribute,536,,2014 07 30T17:54:13Z,2014 06 24T16:44:07Z,true,0,0,0,0
Angular d3 demo,,74,JavaScript,2013 03 19T12:25:43Z,2012 09 08T06:35:54Z,true,0,0,0,0
Angular dragdrop,A Native ( without jquery )  Drag and Drop directive for AngularJS using HTML5 Drag and Drop ,171,JavaScript,2014 11 03T04:31:27Z,2014 12 26T04:59:50Z,true,0,0,0,0
Angular file upload shim bower,,556,,2014 11 19T18:27:42Z,2014 09 26T03:56:24Z,true,0,0,0,0
Angular nvd3,An AngularJS directive for NVD3 reusable charting library (based on D3)  Easily customize your charts via JSON API ,3406,JavaScript,2014 10 10T04:33:44Z,2014 11 14T21:48:43Z,true,0,0,0,0
Angular requirejs seed,,378,JavaScript,2013 06 11T19:23:13Z,2013 06 11T19:31:07Z,true,0,0,0,0
Angular seed,Seed project for angular apps  ,6592,JavaScript,2012 10 27T22:26:39Z,2013 04 30T21:27:44Z,true,0,0,0,0
Animint,Interactive animations,106355,,2014 10 15T01:20:30Z,2014 10 14T20:32:41Z,true,0,0,0,0
Ark tweet nlp,CMU ARK Twitter Part of Speech Tagger,57963,Java,2012 08 29T18:26:49Z,2012 08 16T17:25:17Z,true,0,0,0,0
Artshack,,364,Java,2015 09 24T00:58:17Z,2015 10 11T18:25:16Z,true,0,0,0,0
AudioWebService,A simple nodejs server which accepts upload of audio and runs it through praat,73137,JavaScript,2015 08 17T19:09:04Z,2015 08 17T19:32:00Z,true,0,0,0,0
AuthenticationWebService,,1242,JavaScript,2012 09 16T22:22:11Z,2015 09 15T21:17:27Z,true,0,0,0,0
AutoSuggest,JQuery AutoComplete Plugin   Takes alanhogan's version and adds option to auto select the first match without clicking or arrowing to it  More like default facebook behavior where you can type a few letters and hit enter or tab to select the first match ,76,JavaScript,2012 09 05T16:22:45Z,2012 03 19T14:20:46Z,true,0,0,0,0
Backbone paginator,Backbone Paginator is a pagination component for Backbone js ,440,JavaScript,2012 06 04T14:54:13Z,2012 12 02T18:43:12Z,true,1,1,0,0
Bad Aliens,Embedding sethladds' html5 game in a chrome extension as a packaged webapp,462,JavaScript,2011 11 30T15:07:20Z,2012 01 14T01:26:20Z,true,2,2,1,0
BAT correctedsyllabletiming,Fichiers textgrid original corrigés sur Praat,332,,2012 05 12T15:35:11Z,2012 05 18T19:39:58Z,true,1,1,0,0
Behemoth,Behemoth is an open source platform for large scale document analysis based on Apache Hadoop ,6729,Java,2012 01 14T13:59:41Z,2012 12 02T18:52:26Z,true,1,1,0,0
BilingualAphasiaTest OpenData,Open Data repository for metadata gathered by the Bilingual Aphasia Test project,92,,2011 10 08T18:15:50Z,2011 10 08T18:44:07Z,false,1,1,0,0
Blockly,Blockly Applications (MOOC),104164,JavaScript,2014 06 18T08:36:28Z,2014 06 18T06:38:06Z,true,0,0,0,0
Book animation,Book animation,1534,Java,2014 09 11T23:11:29Z,2014 09 13T16:29:38Z,true,0,0,0,0
Brainbrowser,Web based visualization tools for neurological data ,75284,,2014 10 18T17:52:48Z,2014 10 19T13:29:29Z,true,0,0,0,0
Chef sikulix,A Chef cookbook to install SikuliX,156,Ruby,2014 12 02T15:26:06Z,2014 10 23T20:31:43Z,true,0,0,0,0
